classid,moodleclass
2021T2T2E!$688!$E!$EHSS-1B!$VB-1A,EHSS-01-3D-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2A!$PRO-1B,EHSS-02-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2A!$VB-1B,EHSS-02-3D-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2B!$PRO-1B,EHSS-02-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2B!$VB-1B,EHSS-02-3D-2021T2T2E
2021T2T2E!$688!$E!$EHSS-3A!$PRO-2A,EHSS-03-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-3A!$V-2A,EHSS-03-VEN-2021T2T2E
2021T2T2E!$688!$E!$EHSS-4A!$PRO-2B,EHSS-04-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-4A!$V-2B,EHSS-04-VEN-2021T2T2E
2021T2T2E!$688!$E!$EHSS-5A!$PRO-3A,EHSS-05-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-5A!$V-3A,EHSS-05-VEN-2021T2T2E
2021T2T2E!$688!$E!$EHSS-6A!$PRO-3B,EHSS-06-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-6A!$V-3B,EHSS-06-VEN-2021T2T2E
2021T2T2E!$688!$E!$EHSS-7A!$RE-02,EHSS-07-R-2021T2T2E
2021T2T2E!$688!$E!$EHSS-7A!$V-4A,EHSS-07-VEN-2021T2T2E
2021T2T2E!$688!$E!$EHSS-8A!$RE-02,EHSS-08-R-2021T2T2E
2021T2T2E!$688!$E!$EHSS-8A!$V-4B,EHSS-08-VEN-2021T2T2E
2021T2T2E!$688!$E!$EHSS-9A!$RE-03,EHSS-09-R-2021T2T2E
2021T2T2E!$688!$E!$EHSS-9A!$V-5A,EHSS-09-3D-2021T2T2E
2021T3E!$582!$E!$E/BEGINNER!$BP-2,IEAP-BG-2021T3E
2021T3E!$582!$E!$E/BEGINNER!$RE-FOUND,IEAP-BW-2021T3E
2021T3E!$582!$E!$IEAP-1E!$COM-1-NEW,IEAP-1W-2021T3E
2021T3E!$582!$E!$IEAP-1E!$INTER-1,IEAP-1G-2021T3E
2021T3E!$582!$E!$IEAP-2E!$INTER-2,IEAP-2G-2021T3E
2021T3E!$582!$E!$IEAP-2E!$RE-2,IEAP-2W-2021T3E
2021T3E!$582!$E!$IEAP-3E!$INTER-3,IEAP-3G-2021T3E
2021T3E!$582!$E!$IEAP-3E!$RE-3,IEAP-3W-E-2021T3E
2021T3E!$582!$E!$IEAP-4E!$BP-07,IEAP-4G-2021T3E
2021T3E!$582!$E!$IEAP-4E!$RE-04,EHSS-11-R-2021T3E
2021T3E!$582!$M!$IEAP-1M!$COM-1-NEW,IEAP-1W-2021T3E
2021T3E!$582!$M!$IEAP-1M!$INTER-1,IEAP-1G-2021T3E
2021T3E!$582!$M!$IEAP-2M!$INTER-2,IEAP-2G-2021T3E
2021T3E!$582!$M!$IEAP-2M!$RE-2,IEAP-2W-2021T3E
2021T3E!$582!$M!$IEAP-3M!$INTER-3,IEAP-3G-2021T3E
2021T3E!$582!$M!$IEAP-3M!$RE-3,IEAP-3W-M-2021T3E
2021T3E!$688!$E!$EHSS-1!$PRO-1A,EHSS-01-PRO-2021T3E
2021T3E!$688!$E!$EHSS-1!$VB-1A,EHSS-01-2D-2021T3E
2021T3E!$688!$E!$EHSS-10!$RE-03,EHSS-10-R-2021T3E
2021T3E!$688!$E!$EHSS-10!$V-5B,EHSS-10-2D-2021T3E
2021T3E!$688!$E!$EHSS-12!$RE-04,EHSS-11-R-2021T3E
2021T3E!$688!$E!$EHSS-12!$V-6B,EHSS-12-3D-2021T3E
2021T3E!$688!$E!$EHSS-2!$PRO-1B,EHSS-02-PRO-2021T3E
2021T3E!$688!$E!$EHSS-2!$VB-1B,EHSS-02-2D-2021T3E
2021T3E!$688!$E!$EHSS-3A!$PRO-2A,EHSS-03-PRO-2021T3E
2021T3E!$688!$E!$EHSS-3A!$V-2A,EHSS-03-VEN-2021T3E
2021T3E!$688!$E!$EHSS-3B!$PRO-2A,EHSS-03-PRO-2021T3E
2021T3E!$688!$E!$EHSS-3B!$V-2A,EHSS-03-VEN-2021T3E
2021T3E!$688!$E!$EHSS-4!$PRO-2B,EHSS-04-PRO-2021T3E
2021T3E!$688!$E!$EHSS-4!$V-2B,EHSS-04-VEN-2021T3E
2021T3E!$688!$E!$EHSS-5!$PRO-3A,EHSS-05-PRO-2021T3E
2021T3E!$688!$E!$EHSS-5!$V-3A,EHSS-05-VEN-2021T3E
2021T3E!$688!$E!$EHSS-6!$PRO-3B,EHSS-06-PRO-2021T3E
2021T3E!$688!$E!$EHSS-6!$V-3B,EHSS-06-VEN-2021T3E
2021T3E!$688!$E!$EHSS-8!$RE-02,EHSS-08-R-2021T3E
2021T3E!$688!$E!$EHSS-8!$V-4B,EHSS-08-VEN-2021T3E
2021T4E!$632!$E!$PRE-B1!$PRE-B1-NEW,GESL-PB1-2021T4E
2021T4E!$632!$E!$PRE-B2/E1!$PRE-B2-NEW,GESL-PB2-2021T4E
2021T4E!$632!$E!$PRE-B2/E2!$PRE-B2-NEW,GESL-PB2-2021T4E
2021T4E!$688!$E!$EHSS-1!$PRO-1A,EHSS-01-PRO-2021T4E
2021T4E!$688!$E!$EHSS-1!$VB-1A,EHSS-01-3D-2021T4E
2021T4E!$688!$E!$EHSS-10!$RE-03,EHSS-10-R-2021T4E
2021T4E!$688!$E!$EHSS-10!$V-5B,EHSS-10-3D-2021T4E
2021T4E!$688!$E!$EHSS-2!$PRO-1B,EHSS-02-PRO-2021T4E
2021T4E!$688!$E!$EHSS-2!$VB-1B,EHSS-02-3D-2021T4E
2021T4E!$688!$E!$EHSS-3!$PRO-2A,EHSS-03-PRO-2021T4E
2021T4E!$688!$E!$EHSS-3!$V-2A,EHSS-03-VEN-2021T4E
2021T4E!$688!$E!$EHSS-4!$PRO-2B,EHSS-04-PRO-2021T4E
2021T4E!$688!$E!$EHSS-4!$V-2B,EHSS-04-VEN-2021T4E
2021T4E!$688!$E!$EHSS-5!$PRO-3A,EHSS-05-PRO-2021T4E
2021T4E!$688!$E!$EHSS-5!$V-3A,EHSS-05-VEN-2021T4E
2021T4E!$688!$E!$EHSS-6!$PRO-3B,EHSS-06-PRO-2021T4E
2021T4E!$688!$E!$EHSS-6!$V-3B,EHSS-06-VEN-2021T4E
2021T4E!$688!$E!$EHSS-7!$RE-02,EHSS-07-R-2021T4E
2021T4E!$688!$E!$EHSS-7!$V-4A,EHSS-07-VEN-2021T4E
2021T4E!$688!$E!$EHSS-8!$RE-02,EHSS-08-R-2021T4E
2021T4E!$688!$E!$EHSS-8!$V-4B,EHSS-08-VEN-2021T4E
2021T4E!$688!$E!$EHSS-9!$RE-03,EHSS-09-R-2021T4E
2021T4E!$688!$E!$EHSS-9!$V-5A,EHSS-09-3D-2021T4E
2022AT3E!$582!$E!$BEGINNER/E!$BP-2,IEAP-BG-2022AT3E
2022AT3E!$582!$E!$BEGINNER/E!$RE-FOUND,IEAP-BW-2022AT3E
2022AT3E!$582!$E!$IEAP-1E!$IEAP-1-WR,IEAP-1W-2022AT3E
2022AT3E!$582!$E!$IEAP-1E!$INTER-1,IEAP-1G-2022AT3E
2022AT3E!$582!$E!$IEAP-2E/A!$IEAP-2-WR,IEAP-2W-2022AT3E
2022AT3E!$582!$E!$IEAP-2E/A!$INTER-2,IEAP-2G-2022AT3E
2022AT3E!$582!$E!$IEAP-2E/B!$IEAP-2-WR,IEAP-2W-2022AT3E
2022AT3E!$582!$E!$IEAP-2E/B!$INTER-2,IEAP-2G-2022AT3E
2022AT3E!$582!$E!$IEAP-3E!$IEAP-3-WR,IEAP-3W-2022AT3E
2022AT3E!$582!$E!$IEAP-3E!$INTER-3,IEAP-3G-2022AT3E
2022AT3E!$582!$E!$IEAP-4E!$IEAP-4-WR,IEAP-4W-2022AT3E
2022AT3E!$582!$E!$IEAP-4E!$PASS-04,IEAP-4G-2022AT3E
2022AT3E!$582!$E!$PRE-BEGINNER!$BP-1,IEAP-PG-2022AT3E
2022AT3E!$582!$E!$PRE-BEGINNER!$INTER-BEG,IEAP-PW-2022AT3E
